,pre,2W,4W,6W,8W,10W,12W
164,8.432,0.239,0.026,0.004,0.001,0.002,0.002
165,4.59,0.024,0.0,0.0,0.001,0.0,0.003
166,5.58,0.009,0.049,0.0,0.001,0.001,0.002
167,12.1,0.463,0.0,0.0,0.0,0.004,0.003
168,11.181,0.08,0.001,0.0,0.001,0.001,0.003
169,9.8,0.527,0.04,0.008,0.001,0.001,0.002
170,7.91,0.56,0.03,0.0,0.01,0.001,0.002
171,14.37,0.484,0.041,0.006,0.0,0.001,0.002
172,6.1,0.308,0.03,0.0,0.001,0.001,0.002
173,3.65,0.058,0.001,0.0,0.001,0.0,0.003
174,6.444,0.02,0.001,0.0,0.003,0.001,0.004
175,28.424,0.296,0.042,0.015,0.001,0.001,0.003
176,14.121,0.435,0.0,0.006,0.001,0.001,0.003
177,13.687,0.406,0.029,0.006,0.0,0.001,0.001
178,38.453,0.844,0.001,0.0,0.001,0.001,0.003
179,29.595,1.443,0.087,0.0,0.001,0.004,0.003
180,4.4,0.226,0.028,0.0,0.01,0.0,0.002
181,33.148,2.02,0.128,0.0,0.004,0.096,0.003
182,6.246,0.273,0.032,0.009,0.001,0.001,0.002
183,9.02,0.244,0.0,0.01,0.001,0.001,0.003
184,9.971,0.66,0.12,0.04,0.001,0.008,0.012
185,15.7,0.55,0.0,0.01,0.001,0.001,0.003
186,6.0,0.358,0.04,0.01,0.001,0.001,0.002
187,12.762,0.028,0.026,0.013,0.001,0.001,0.002
188,14.224,0.193,0.016,0.0,0.001,0.001,0.002
189,9.1,0.259,0.01,0.01,0.001,0.001,0.002
190,14.343,0.302,0.039,0.01,0.004,0.001,0.002
191,20.0,0.612,0.062,0.012,0.0,0.001,0.003
192,12.65,0.894,0.07,0.01,0.0,0.001,0.003
193,12.156,0.252,0.015,0.0,0.001,0.001,0.002
194,8.526,0.243,0.022,0.004,0.001,0.001,0.002
195,44.14,0.65,0.015,0.003,0.001,0.001,0.002
196,8.4,0.293,0.025,0.002,0.001,0.001,0.002
197,16.0,0.698,0.07,0.03,0.0,0.001,0.011
198,12.1,0.448,0.03,0.0,0.0,0.001,0.002
199,85.92,0.538,0.049,0.008,0.002,0.001,0.002
200,13.366,0.255,0.016,0.001,0.001,0.001,0.002
201,8.573,0.141,0.01,0.002,0.001,0.001,0.002
202,12.0,0.193,0.023,0.01,0.001,0.001,0.002
203,77.705,1.474,0.107,0.007,0.002,0.008,0.002
204,29.24,0.931,0.11,0.02,0.001,0.008,0.011
205,10.695,0.25,0.018,0.004,0.001,0.001,0.002
206,7.196,0.09,0.0,0.01,0.003,0.001,0.003
207,11.8,0.107,0.019,0.007,0.001,0.001,0.001
208,16.76,0.382,0.062,0.018,0.001,0.001,0.01
209,7.28,0.158,0.015,0.002,0.001,0.001,0.002
210,13.37,0.674,0.04,0.0,0.0,0.001,0.002
211,34.0,0.204,0.012,0.001,0.001,0.001,0.003
212,10.79,0.008,0.014,0.003,0.001,0.001,0.002
213,64.0,2.0,0.11,0.0,0.02,0.095,0.003
214,23.85,0.921,0.075,0.004,0.0,0.001,0.002
215,14.11,0.576,0.091,0.036,0.001,0.001,0.011
216,20.32,0.529,0.043,0.007,0.0,0.001,0.001
217,7.82,0.26,0.0,0.0,0.001,0.001,0.003
218,14.82,0.21,0.0,0.0,0.001,0.001,0.003
219,18.542,1.151,0.14,0.032,0.001,0.01,0.011
220,7.11,0.185,0.014,0.002,0.001,0.001,0.002
221,10.515,0.581,0.072,0.008,0.001,0.001,0.003
222,8.16,0.384,0.03,0.006,0.001,0.001,0.0
223,21.0,0.64,0.06,0.11,0.013,0.001,0.012
224,15.3,0.008,0.05,0.001,0.001,0.001,0.003
225,23.0,0.75,0.11,0.03,0.001,0.008,0.011
226,14.205,0.008,0.0,0.015,0.001,0.012,0.004
